line,label
"The phrase sounded very profound, but what did it actually mean? I",1
1,1
accordingly.,0
"Sweden 101, 105, 112, 141",0
resources made economic progress mainly by selling the cheap labour of,1
hoisted on a 110-metre-high flag post (what would Freud have said about,1
"corporation, or to the human collective?",1
"violence within its borders. The citizens, for their part, have become used to",1
"justify our political interests, our economic ambitions or our personal",1
"Christ, was in fact a typical struggle between haves and have-nots. In",1
"numerous people in many countries who wish to emigrate to the USA, to",1
25 ‘Facebook removes Myanmar monk’s page for “inflammatory posts”,0
chess to nuclear chess?,1
Despair and Hope,1
The other chief commitment of secular people is to compassion. Secular,1
"Inside Out (movie) 249–51, 267",0
"of William Wallace and Robert Bruce, they had to raise an army to do so. In",1
"situations than any of the alternatives. Therefore, when examining the new",1
reject the liberal package in its entirety – they lost faith mainly in its,1
"– but we laughed anyway, so as not to look stupid. When you force yourself",1
Manchukuo 232,0
would American voters also agree that these taxes should be sent to support,1
gurus. He gave himself the official titles of ‘Beloved of the Gods’ and ‘He,1
"evidence. Even if we think we know something, we shouldn’t be afraid of",1
"4 K. P. Schroder and Robert Connon Smith, ‘Distant Future of the Sun and",0
persecuting all dissident groups on the grounds that they might one day try,1
"Other religious traditions fill the world with a lot of ugliness, and make",1
"accidents, or from suicide.3 This may well have been the greatest political",1
"6 Elizabeth Kolbert, Field Notes from a Catastrophe (London: Bloomsbury,",0
Burma 304–5,0
"Anti-immigrationists reply that if you use sufficient force, you can",1
"filmography, we may have forgotten most of it. But Netflix, or Amazon, or",1
"women bring home the bacon, don’t say the F-word’, Times of Israel, 1",0
"universe is only a meaningless hodge-podge of atoms. Nothing is beautiful,",1
"delighted to be free of that burden. Russia, Iran and Saudi Arabia depend on",1
"compartments, and some neurons just don’t talk to one another. Similarly,",1
"16 ‘Treaty Establishing a Constitution for Europe’, op. cit.",0
mother.,1
Similarly in 1940 Britain and Germany had very different political,1
"gathered it herself), who made her moccasins (he slept twenty metres from",1
of the ecological crisis. And economic growth will not solve technological,1
enlighten us mainly about some arcane temple rituals and food taboos. In,1
"best solutions. Child labour in Dickensian coal mines, the First World War",1
"torpedoed a civilian passenger ship in order to provoke the USA, while",1
often resort to one of four methods. The first is to downsize the issue: to,1
you cannot allow yourself to admit any error – for that would nullify your,1
other section of Israeli society. This is due to the strength of their,1
16,1
"rights, democracy, equality and freedom. Countless speeches and",1
"aboriginal population of Tasmania, and they struggle with many unique",1
What does it take to succeed as a lawyer? How do I perform under,1
or gendered privileges. Others have concluded (rightly or wrongly) that,1
and values?,1
"Pegu, King of 305",0
help to prevent ecological meltdown.12,1
"robots 249, 250; inequality and 76–7; jobs/work and 19, 22, 24, 29–30, 34,",0
"them. But since they are very weak, and have no other military option, they",1
they are busy spreading misinformation or distracting us with irrelevancies.,1
"seasons, its joints the months and fortnights, its feet the days and nights, its",1
direction is clear-cut. Ten thousand years ago humankind was divided into,1
the EU had focused in the 1990s on Islamic extremists rather than on the,1
the terrorists. Hundreds of terrorist organisations were wiped out over the,1
"algorithm will slavishly follow your lead. Indeed, the algorithm may learn",1
"Security 35:1 (2010), 44–74; Paul French, North Korea: The Paranoid",0
"Though this book takes a global perspective, I do not neglect the personal",1
did so in revenge for the bombing of Islamic State activists in Syria and,1
"sense of the word, moving pawns and knights at random. General Tojo,",1
"a young chimpanzee nicknamed Oscar lost his mother, he struggled to",1
"combination of biotechnology and AI might result in bodily, physical and",1
"communism, during the Cold War good American capitalists went on",1
Eastern politics) – what is the best car for me?’ If Google can give us a,1
scientists should consider how the scientific project lent itself so easily to,1
would also give this handful of fanatics far too great a say about the future,1
eat or drink a dollar bill – trust in the dollar and in the wisdom of the,1
"these projects failed, but some produced tanks, radar, poison gas, supersonic",1
"Strategy: Tools of Authoritarian Control in North Korea’, International",0
not an escape from reality. It is getting in touch with reality. At least for two,1
"decide whether to endorse or oppose rape, homosexuality, bestiality and",1
"irrelevant, because even if they cannot compete with AI in the workplace,",1
"democracy, they have almost no tolerance of any criticism directed at them.",1
"foreign-made solar panels and solar equipment, preferring to support",1
incomprehensible words. Be particularly careful about the following four,1
during a tiny fraction of the span of time. The Zionist story fails to ascribe,1
"25 Robert J. Donia, Radovan Karadžić: Architect of the Bosnian Genocide",0
computer network we will lose the advantages of individuality. For,1
just about the worst offence you could possibly commit.,1
and follow their hearts – as long as they do not infringe on the liberties of,1
"Dugan and Erin Miller, Putting Terrorism in Context: Lessons from the",0
"arguably fostered local patriotism in places such as Flanders, Lombardy,",1
"In practical terms, those who believe in the liberal story live by the light",1
"others for almost all our needs. In one humbling experiment, people were",1
"‘The Meaning of Life in a World Without Work’, Guardian, 8 May 2017.",0
the total will still fall far short of the casualties in any number of obscure,1
"administration in the 1990s, and accuse it of neglecting the al-Qaeda threat.",1
Myanmar military he laughed and said ‘Impossible. Their bodies are too,1
immigrants; and how quickly host countries should treat them as equal,1
"and Me (Melbourne: Text, 2015).",0
"the main victims of automation may not live in Finland, Ontario, Livorno or",1
underdeveloped country might come to enjoy far better healthcare via her,1
"found there, if you are a good Quranic scholar you will always be able to",1
ulama – scholars who studied Muslim law and theology in reputable,1
"In the military, discipline and ritual are inseparable, and soldiers from",1
"Coca-Cola 50, 238, 267",0
"frightening era of post-truth, remind yourself that centuries ago millions of",1
wrongdoing from justice. Is Homo sapiens capable of making sense of the,1
"nature, we miss the truth about humanity. As long as you define yourself as",1
or as part of a human–AI banking team. They will not have the necessary,1
"tool. In 2016, despite wars in Syria, Ukraine and several other hot spots,",1
without destroying human civilisation. But that was in the pre-Hiroshima,1
"regulation: AI and 6, 22, 34–5, 61, 77–81, 123; environmental 118, 130,",0
"Poland 15, 103, 137, 142, 169, 177, 186, 231, 279–80, 307–8",0
"is up to us humans to create a plot, and this is our vocation and the meaning",1
"this issue. On the one hand, it all sounds dangerously close to racism. On",1
"That’s what you study at the department of anthropology, and that’s what",1
"Nature Climate Change 6 (2016), 245–52; Ashkat Rathi, ‘Did We Just",0
subconsciously believe in this linkage.,1
"can wear on or inside their bodies, and which converts biological processes",1
ideal society at a time when Ukrainians and other Soviet citizens were,1
Theodosian Decrees (391) 192,0
"give the wrong impression, as if what works for me will work for",1
"dictatorships and failed states, liberals often put their unquestioning faith in",1
which a mining corporation produces and sells iron to a robotics,1
side of the deal. Despite the honest efforts of the vast majority of,1
Middle-of-the-road liberal democrats have been more loyal to the secular,1
"Austria, and shortly after the Polish uprising of 1830 was brutally crushed",1
they were willing to pay the price in blood. In the nineteenth century and,1
"more closely those of biblical Israel, of reinstating biblical law, and even of",1
as usual’ approach.,1
Post-colonial and feminist thinkers have pointed out that this ‘rational,1
human history when genocide was presented as a binding religious duty.,1
"a duty, once the immigrants settle down the host country gradually incurs",1
it was nevertheless a far more equal place than the world of 1900. In the,1
Croats 282,0
liberalisation and globalisation are a huge racket empowering a tiny elite at,1
"mundane pursuits, and try to connect to an eternal truth. Their Hindu",1
"the modern age, allegedly explained his method succinctly by stating that",1
"263; decision-making and 36–7, 50–61; democracy and see democracy;",0
"answer even the simplest questions, such as where my lunch comes from,",1
their fifties aren’t ready to overhaul the deep structures of their identity and,1
ALSO BY YUVAL NOAH HARARI,0
"well join a wandering circus, go to Broadway to sing in a musical, or move",1
lifespans will make this traditional model obsolete. Life will come apart at,1
"Humankind’, New Statesman, 25 July 2017.",0
God’s name in order to live a moral life. Secularism can provide us with all,1
"are they faithful to the core European values, or are they guilty of saddling",1
too. Every violent act in the world begins with a violent desire in,1
"Hindu nativists dismiss these Chinese boasts, and argue that even",1
of individual voters. Thus when Britain needed to decide whether it should,1
"pieces of a few minutes in length, rather than a twenty-minute chant that",1
"also be totally wrong to conclude that everything is just fake news, that any",1
"The revolutions in biotech and infotech are made by engineers,",1
"world, and no sooner had Hitler fired a bullet through his brain, than people",1
"‘We don’t,’ said the Controller. ‘We prefer to do things comfortably.’",1
because he supports the destruction of the Babri Mosque at Ayodhya and,1
government welfare services. Starving children have no liberties.,1
"199–200 (2013), 93–105.",0
meaning all too often ends with a succession of sacrifices.,1
product of liberal groupthink. In one of the climactic moments of Monty,1
So the best advice I could give a fifteen-year-old stuck in an outdated,1
The Political Challenge,1
"A thousand years ago, in 1018, there were many things people didn’t",1
"Socialism, 1933–1945 (Providence: Berghahn Books, 1997), 140.",0
cropped up in the lives of small hunter-gatherer bands. If I went hunting,1
intoxication. The two kingdoms nevertheless fought each other relentlessly.,1
"Nadine Lavan, Sinead Chen and Carolyn McGettigan, ‘The Social Life",0
an algorithm to find (or create) the perfect match for you. As for drawing,1
raped and probably also got intoxicated here and there. They then burned,1
"11 ‘Reported Rapes in France Jump 18% in Five Years’, France 24, 11",0
"(Which is a great pity, because the Talmud is a far more thoughtful and",1
"reprimanded Israelite elites for their oppressive behaviour, the Babylonian",1
"9 Time Well Spent, http://www.timewellspent.io/, accessed 3 September",0
"greenhouse gases such as carbon dioxide, are causing the earth’s climate to",1
"whereas our actual experiences are corporeal. In the fantasy, you observe a",1
"today believe – be they Yahweh, Mammon, the Nation, or the Revolution –",1
In the early twentieth century a favourite Zionist slogan spoke of the,1
its might from the Baltic to the Caucasus.,1
"project, and Jews found their place in it only when they moved from the",1
"strongholds in Syria and Iraq, another French army invaded the Middle",1
"Of course, this appreciation too has its downside. Realising the",1
"440, 467–71.",0
Living in a box,1
people to know themselves. But this advice was never more urgent than in,1
‘Violent Passion Surrogate. Regularly once a month. We flood the,1
"built through violent conquest. In 1914 too, all the major powers owed their",1
"well as by atheists – enshrines the values of truth, compassion, equality,",1
intelligence (AI) International Olympic Committee (IOC) 104,0
because Germany has a far better record of welcoming and absorbing,1
"everlasting bliss of paradise, did they prefer Muslim captivity instead?",1
way from small tribes to huge civilisations – are fundamentally different,1
than Syrian culture?,1
dogmas that it has become common to interpret even ostensibly religious,1
193–5,0
"probably well aware of the real costs and benefits of its military adventures,",1
"instead of our own easily manipulated feelings, what could possibly be the",1
yellow cheerful Joy. Yet eventually it turns out that this was the critical,1
Scientists nowadays point out that morality in fact has deep evolutionary,1
"Lifelong Learning’, Guardian, 31 May 2016.",0
"to be told a story. The first thing you need to know about yourself, is that",1
"the Global Crisis Being Created by AI, Robots, Desktop Manufacturing",0
"Python’s Life of Brian, a huge crowd of starry-eyed followers mistakes",1
"evolution, adapted to dealing with the social and ethical dilemmas that",1
all those expensive field excursions to the South Pacific and the Kalahari,1
"but it can then become far more serious stuff, as any English hooligan or",1
"To my spouse and manager Itzik, without whom none of this would have",0
Aqsa mosque.10,1
"laugh guiltily, and that we didn’t get the joke about the Big Kahuna Burger",1
5. Community,0
"general culturist claims, which make little sense. Thus saying that ‘Coldian",1
"Middle East 13, 15, 78, 106, 139, 142, 143, 161, 173, 175, 177, 188, 193,",0
"Today we can ridicule these scary scenarios, because we know they",1
"supermarket, sooner or later you will experience the liberal epiphany, and",1
"very limited. Humans settled the entire planet, adopted agriculture, built the",1
assembled peasants the priest held high a piece of bread and exclaimed,1
was no Indonesian or Vietnamese story for humanity as a whole. When it,1
"people just because of their religious beliefs. Monotheists, in contrast,",1
understand that our desires are not the magical manifestations of free,1
"records or professional talents, but even for things like religion. If a country",1
"Internet 6, 15, 40, 65, 71, 73, 88, 122, 232, 246, 263",0
"Even though all these big stories are fictions generated by our own minds,",1
"4 Phoebe Greenwood, ‘Jerusalem Mayor Battles Ultra-Orthodox Groups",0
"the creator. What then is the aim of my life? To create meaning by feeling,",1
"Accomplishments and challenges’, Perspectives on Terrorism 4 (2010),",0
must keep believing in our god even though he seems deaf to all our,1
"communist East Germany), the Federal Republic of Germany (aka West",1
"globalising part. They still believe in democracy, free markets, human rights",1
extremely sophisticated in regulating the ownership of industry – thus today,1
"Revenge for what, exactly? For sending people to heaven? If you just heard",1
"not believe in any gods or angels, do not go to churches and temples, and do",1
"‘Climate Change Is Already Wreaking Havoc on Our Weather, Scientists",0
"sexuality: AI and 50; law and 61; liberalism and 299; religion and 200, 300;",0
and articles; process the data; and transmit back new bits through more,1
"individuals. Similarly, the crisis of liberal democracy is played out not just",1
exchange for a post-dated cheque drawn on a bank above the clouds.,1
"engineer bodies, brains and minds, we can no longer be certain about",1
discouraging many local traditions. This ‘State Shinto’ was fused with very,1
"the most learned rabbis, and they concluded that tearing toilet paper will",1
social sciences – such as Freud – their Jewish heritage probably had a,1
Global problems need global answers,0
March 2012 three Japanese tourists in Australia decided to take a day trip to,1
This is not necessarily bad. Our reliance on groupthink has made us,1
"behind’, thereby ensuring that their personal story continues beyond their",1
other that takes priority over boring stuff such as healthcare and pollution.,1
"wage war on your neighbours and steal their land? Leave God out of it, and",1
to deal with. Your judgement is clouded and manipulated by Hollywood,1
"things wrong but rarely, if ever, admits it. And just as the government builds",1
mammoth. According to the best scientific theories and the most up-to-date,1
more than Pravda and Der Stürmer.,1
surveillance systems 63–5,0
"manipulated by her. But in reality, this is not a movie about the human fear",1
threatening scenarios. In the last two decades the United States wasted,1
soul in terms of mystical hunches – that sounds impossible. But if AI really,1
"taxation and employment. Nowadays, in contrast, almost everybody",1
"globalisation 8, 9, 113, 139; AI/automation and 38–9; history of 99;",0
"prince. Having understood the meaning of life, Arjuna duly proceeds to",1
balcony.,1
adopt the value of tolerance – the host country is duty-bound to treat them,1
"Hobbesian state of nature without any moral commitments, and as if all of",1
"policies of Shiite Iran, Sunni Saudi Arabia, Jewish Israel, Hindu India and",1
"aggression, and most countries have ceased using war as a standard political",1
"LaFree and Laura Dugan, ‘Introducing the global terrorism database’,",0
"9, 113, 114, 115, 124–5, 128, 135, 136, 138, 139, 140, 143–4, 145, 147,",0
Riley’s brain only to discover that she has no authentic self and that she,1
"common, but it suffers from two main problems. First, by lengthening my",1
"the Trump moment. This time, however, the liberal story is not faced by a",1
218–19; power and 220–2; rationality and 217–18,0
"human rights xii, 4, 11, 15, 44, 93, 95, 96, 101, 211–12, 306",0
recognise the importance of communist-style welfare programmes. Liberty,1
"Amy Sue Bix, Inventing Ourselves out of Jobs? America’s Debate over",0
standards of tolerance. They must also adopt many of the unique,1
"the West Bank with Cameras and Plans to Surveille all Junctions’,",0
"Yugoslavia might spread to other parts of eastern Europe, resulting in",1
"destruction, they need to balance the fear of nuclear terrorism against other",1
"beautiful panoramas, perfect dinners and smiling faces; 99 per cent of what",1
what happens to them in terms of how others see it. If something exciting,1
"5 For example, Helena Smith, ‘Shocking Images of Drowned Syrian Boy",0
If despite our efforts terrorist groups eventually do lay their hands on,1
routinely vow the impossible. Their leaders speak all too freely about,1
lie’ in the Russian arsenal of deception. To claim that Ukraine does not exist,1
should we teach that baby that will help him or her survive and flourish in,1
"up, I fight with my mother-in-law, I get sick, I die – and then do it all over",1
Denmark must embrace? As long as Europeans are bitterly divided about,1
"the masses, because they needed millions of healthy labourers to operate the",1
"affection, desires that all should be well learned in the good doctrines",1
military defeat.,1
rather than to engage in an open discussion about the future of humanity.,1
"Guevara, Che 9–10, 11, 133",0
"If you distort reality too much, it will indeed weaken you by making you",1
IMMIGRATION,1
inside the matrix as well as outside it.,1
Much the same thing happens to Coldians who emigrate to Warmland. A,1
sitting slumped in a doorway with his head down and his eyes closed. As,1
"envy. Hence long before you murder anyone, your anger has already killed",1
per cent of wealth concentrated in the hands of the richest 10 per cent of,1
Examples are not hard to come by. Thus in late February 2014 Russian,1
"the table and yells at the top of his voice, expecting that this will focus",1
not least by learned scholars.,1
"global food shortages, floods cities all over the world, and sends hundreds",1
Yet it worked like magic. The Japanese modernised at a breathtaking,1
selection processes. Animal species have objective identities that endure for,1
god.4,1
2011 Germany has taken in many more Syrian refugees than has Saudi,1
"if it and it alone has sole custody of the truth. Instead, secular people",1
scale of ‘good’ emotions and ‘bad’ emotions? Maybe there are times in life,1
more technical fields. This is also why the entire world has increasingly,1
‘Muslim’ or ‘Jewish’ positions here. Humankind is likely to be divided into,1
"7, 209–10, 251, 262, 273, 277, 279",0
success in Crimea may have tempted Russia to overreach itself in Ukraine.,1
"4 Marc Bekoff and Jessica Pierce, ‘Wild Justice – Honor and Fairness",0
norms and values of Western culture. Which is not to say that such,1
"economic fortunes depend on the same economic theories, the same",1
the politics of the Medieval Olympics.,1
"down the pace of automation, in order to lessen the resulting shocks and",1
"technology and biotechnology are still in their infancy, and it is debatable to",1
"combat flight simulation: Nicholas Ernest et al., ‘Genetic Fuzzy based",0
can be blamed on Bill Clinton and George W. Bush as much as on Vladimir,1
"Russians, while other powers refrained from directly intervening in the",1
"Fagnant and Kara Kockelman, ‘Preparing a Nation for Autonomous",0
"59–60, 67–8, 75–6; education and 32, 34, 35, 38 39, 40–1, 259–68;",0
ignite the Third World War. But when it comes to solving rather than,1
"looking hospitals, where you will meet doctors in white coats who learned",1
"Like terrorists, those combating terrorism should also think more like",1
"television, AI and 51–2",0
word ‘sabbath’ is ‘to stand still’ or ‘to rest’). The Sabbath starts at sunset on,1
corporate culture.’ The same fate befalls other Warmlander immigrants to,1
"follow Allah’s commands, spread knowledge of His laws, and ensure",1
will be easier to redirect the flow of our minds than to divine what it will do,1
anything is wrong with us. They could then recommend appropriate,1
"on collecting second-hand reports, but on training people to observe their",1
dictatorships because democracies were better at data-processing.,1
Hollywood and the pop industry. We believe that buying more stuff will,1
"AI and bioengineering, but in times of crisis people do risky things.",1
"problem, if it is seen as undermining its legitimacy. In the fourteenth",1
entails additional obligations. Sometimes several of my identities pull me in,1
"21 Alex Williams, ‘Prozac Nation Is Now the United States of Xanax’, New",0
"distant childhood memory, the truth is we always react to our immediate",1
"Life of Brian (film) 186, 220",0
Transportation Systems Conference (2007).,0
"people globally (mostly in Iraq, Afghanistan, Pakistan, Nigeria and Syria).1",1
"program the self-driving car in their cosy laboratory, and be certain that the",1
practice.,1
"era. Since then, nuclear weapons have raised the stakes and changed the",1
"tried to get the Great Man’s attention, impress him with their wit, curry",1
"options. Yet precisely because we know so little about consciousness, it",1
"they were the best method in the universe for deciding what to study, who",1
"defended – there, obviously, nobility and heroism have some sense.",1
"apparently ape leaders developed the tendency to help the poor, needy and",1
"my nation is unique, that it deserves my allegiance, and that I have special",1
"mass cooperation and 245; monotheism and 190–3; post-truth and 234–6,",0
The missing link between the cosmic mystery and the worldly lawgiver is,1
"an alternative model has been suggested recently by Tristan Harris, an ex-",1
"aren’t individuals, and it is easy to integrate them into a single flexible",1
fuck-up in Headquarters that threatens to push Riley’s brain completely out,1
"increasingly rely on algorithms to make decisions for us, but it is unlikely",1
"and robots might separate the self-proclaimed civilised zone, where cyborgs",1
"This might sound like science fiction, but the world’s first clean",1
"Culture, Ideology and Mobilizing Frameworks (Lanham: Lexington",0
"Today, in contrast, a single political paradigm is accepted everywhere.",1
"According to the Buddha, then, life has no meaning, and people don’t",1
Anti-immigrationists tend to argue that the immigrants are not fulfilling,1
drop slightly whenever you hear that annoying part. The algorithm could,1
"about the universe, but according to the liberal interpretation of the world,",1
statistics and discover that Warmlander firms have few Coldians in senior,1
"with all people sharing common challenges and opportunities, why do",1
biochemical processes shaping my desires and choices. For all practical,1
"rationality 45, 47, 180, 217–18, 219, 220, 282",0
"child, it also takes a tribe to invent a tool, solve a conflict, or cure a disease.",1
"song, dance and the blood of a black cockerel.",1
"contained and self-sustaining. Not just entire classes, but entire countries",1
nevertheless manage to create for themselves ancient identities thanks to,1
"50; I. Glenn Cohen, ‘Regulating the Organ Market: Normative",0
"camps, or for a Ministry of Love à la Orwell’s Nineteen Eighty-Four.",1
"these were probably all fictions, but I had no idea how to find truth.",1
"become a single civilisation. When things really work, everybody adopts",1
rests on mass cooperation and as long as mass cooperation rests on belief in,1
8. RELIGION,0
"extensively about Christianity, Islam and Buddhism, but devoted just a few",1
It is debatable whether it is better to provide people with universal basic,1
"same old questions writ large. But that is an illusion. Size matters, and from",1
most dangerous weapons and options.,1
– might therefore result in the separation of humankind into a small class of,1
"Mumbai slums uninhabitable, send enormous new waves of refugees across",1
"Consider, for example, the use of phosphorus as a fertiliser. In small",1
"forms, but it might also sap the foundations of human civilisation.6",1
and create an even bigger problem?,1
"poem in the land of Israel’, and so it goes on and on, until finally they all",1
about religious identities and rituals will continue to influence the use of,1
"245–6; creativity and 25–8, 32; data ownership and 77–81; dating and",0
"frame has influenced our heart rate, our blood pressure, and our brain",1
Baidu or the government knows how to pull the strings of your heart and,1
jungle village can access through her smartphone not just a single,1
graduating from cheap labour to high-skill industries – will probably be,1
"W. Bush, Tony Blair, Barack Obama and their administrations can argue",1
"Take for example job applications. In the twenty-first century, the decision",1
we shouldn’t be afraid of acknowledging our ignorance and looking for new,1
"give up. We can be inspired by the anthropologists, zoologist and",1
it to readers around the world to puncture the hot-air balloons inflated by,1
"It is our own inner terror that prompts the media to obsess about terrorism,",1
"4 Chris Graham and Robert Midgley, ‘Mexico Border Wall: What is Donald",0
will produce peace and prosperity for all.1,1
whether to hire somebody for a job will increasingly be made by,1
"invested in fighting global warming, AIDS and poverty; in bringing peace",1
survive. Anything more is a luxury. Yet over and above this biological,1
in modern philosophical debates refer to a runaway trolley car racing down,1
"biochemical algorithms, there is no reason why computers cannot decipher",1
"not care about these conflicts, that person was perhaps a Turk or a Hindu,",1
"– be they Shakespeare plays, Jane Austen novels, or tacky Hollywood",1
"25–8, 47–8, 56, 59, 251, 299; cars and see cars; centaurs (human-AI",0
And we must again emphasise that despite the enormous impact of,1
"make. That’s why revolutionaries establish churches, political parties and",1
might therefore need to invent entirely new taxes – perhaps a tax on,1
"does it mean vilifying all expressions of patriotism. Indeed, by providing a",1
"cultures, differences between 147–55",0
global in nature. What will happen when climate change triggers ecological,1
"the liberal story, which just a decade ago seemed irresistible.",1
"Forum on Internet of Things (WF-IoT) (Piscataway, NJ: IEEE, 2014),",0
"that few humans can understand it. As AI improves, we might soon reach a",1
"Germans, French and Britons might yet merge into Europeans.",1
"Indeed, we have at least one example in history of a false god who",1
Umayyad caliphs 94,0
members are equal – the feet must obey the head – so also in human society,1
"(2016), 1–7; intelligent tutoring and teaching systems: Kurt VanLehn,",0
an African). He looked at the propaganda posters – which typically depicted,1
You will see the difference even in their cars. Evangelicals will drive,1
"many venerable texts, but they exercise a lot of discretion in choosing",1
"ground in a world that extends far beyond my horizons, that spins",1
Sunni world? But why stop with the emirates and sultanates? The Arabian,1
network. When considering automation it is therefore wrong to compare the,1
societies in which an upper class of full citizens exploits an underclass of,1
"their identity, people often make a grocery list of common traits. That’s a",1
throughout many years.,0
but up till now even many Western schools have been rather slack in,1
"power, and then use their control of the media to hide their activities and",1
example. They adopt the universal tools and structures of modernity while,1
"when the neurons fire in a different pattern, I feel love? We haven’t got a",1
that the government I voted for is secretly selling weapons to a shady,1
A century ago Europeans took it for granted that some races – most notably,1
"cannot shirk all responsibility for them, either. Secular movements and",1
"might advance fast enough to join the winning team. Given enough time,",1
and turn them into allegedly sacred and eternal dogmas. In the 1970s,1
for granted. This is partly why people allow themselves to play with fire.,1
bomb and destroy New York or London does not justify a hysterical,1
"collection of self-sufficient agrarian communities, each spinning its own",1
One student might start law school because she has an inaccurate image,1
between Poland and Ukraine.,1
"enough biometric data and enough computing power, external data-",1
"for his trouble by the Jewish community), you can hardly name a single Jew",1
"offline, merging them into a single augmented reality. On an even deeper",1
"Unemployment Debates (Westport, CT: Greenwood Press, 1996), 18–20;",0
something.,1
"going on, or what the key questions are. Billions of us can hardly afford the",1
will find it difficult to engage with such questions as long as they are,1
"Consequently, instead of globalisation resulting in global unity, it might",1
universe just does not work like a story.,1
"Jewish communities in the Diaspora, and culminates with the rise of",1
"1 Aldous Huxley, Brave New World (London: Vintage, 2007), ch. 17.",0
gloom and echo your distress. These particular songs might not work well,1
Hangzhou or Baltimore – so we need to take into account all viewpoints.,1
"The less political violence in a particular state, the greater the public shock",1
"human embryos, this doesn’t prevent Chinese scientists from doing so. And",1
