line,label,,
"Look-now it's Achilles, a greater man he disgraces, seizes and keeps his prize, tears her away himself.",1,,
seems less the creature of an oral tradition whom Milman Parry dis-,1,,
42,0,,
SAMOS,0,,
and would have seen no reason not to do so.,1,,
160,0,,
"/ As such fears went churning through his mind the warlord Nestor's son drew near him now, streaming warm tears, to give the dreaded message: ""Ah son of royal Peleus.",1,,
"I can't take up my spear, can't hold it steady- no wading into enemy ranks to fight it out ...",1,,
"when a man stands up to speak, it's well to listen.",1,,
"Steep banks overhung its whole length, jutting up on either side and topped by stabbing rows of stakes, planted there by the Argives, thickset and huge to block the enemy's onslaught.",1,,
Then giant Ajax and tactful royal Odysseus.,1,,
I will not venture into Achilles' presence: it would offend us all for a mortal man to host an immortal face-to-face.,1,,
They had no love for stand-and-fight encounters- had no crested bronze helmets to guard their heads.,1,,
44,0,,
demands: it would impose.,1,,
armored in shamelessness--always shrewd with greed!,1,,
"He is a formidable warrior, formidable enough so that in Book 7 no",1,,
When Zeus and Hera settle their quarrel,1,,
710,0,,
/14-4J/,0,,
"On and on they raced, passing the lookout point, passing the wild fig tree tossed by the wind, always out from under the ramparts down the wagon trail they careered until they reached the clear running springs where whirling Scamander rises up from its double wellsprings bubbling strong- and one runs hot and the steam goes up around it, drifting thick as if fire burned at its tore but the other even in summer gushes cold as hail or freezing snow or water chilled to ice .",1,,
HOMER:,0,,
king and queen of the gods.,1,,
"Ab but now, since I have no desire to battle glorious Hector, tomorrow at daybreak, once I have sacrificed to Zeus and all the gods and loaded up my holds and launched out on the breakers-watch, my friend, if you'll take the time and care to see me off, and you will see my squadrons sail at dawn, fanning out on the Hellespont that swarms with fish, my crews manning the oarlocks, rowing out with a will, and if the famed god of the earthquake grants us safe passage, the third day out we raise the dark rich soil of Phthia.",1,,
"Achilles now like inhuman fire raging on through the mountain gorges splinter-dry, setting ablaze big stands of timber, the wind swirling the huge fireball left and right- chaos of fire-s-Achilles storming on with brandished spear like a frenzied god of battle trampling all he killed and the earth ran black with blood.",1,,
THE ILIAD,0,,
it impossible for him to eat or drink before Hector's death avenges,1,,
THE EMBASSY TO ACHILLES,0,,
"If we were the same age, I tell you, just as the same fury fills us both- at a single stroke he'd bear oft'glory now or I'd bear it of( myselfl"" So the Cretan yelled and all his comrades came in a pack with one wilt massing round him, bracing shields to shoulders.",1,,
Bloody Ares lunged at it now with giant lance and Athena backed away.,1,,
The Spelling and Pronunciation of Homeric Names,0,,
"city has its hallowed landmarks: the Scaean and Dardanian Gates, the",1,,
454,0,,
Cythera (si-thee' -ra) or Lycaon tleye-kay'-on)-while 0 is pronounced as,1,,
But it will produce a junction,1,,
Each captain killed his man.,1,,
"DANA~ (da' -nay-eei: daughter of Acrisius: mother, by Zeus.",0,,
THE ILIAD,0,,
BOOK 11:,0,,
"Why, it seems like only yesterday or the day before when our vast armada gathered, moored at Aulis, freighted with slaughter bound for Priam's Troy.",1,,
"your own son who never failed in a fight against the Argives."" But the old majestic Priam countered quickly.",1,,
But in twelve days the Father returns to Olympus.,1,,
"He seized the wand that enchants the eyes of men whenever Hermes wants, or wakes them up from sleep.",1,,
"Away with you, madman-damn you!",1,,
"ageless all my days-- and I were prized as they prize Athena and Apollo- as surely as this day will bring the Argivesdeath!"" So Hector urged his armies.",1,,
the home of the gods.,0,,
Bury our dead.,1,,
"Both fighters sprang from their chariots, clasped each other's hands and traded pacts of friendship.",1,,
480,0,,
But no false respect.,1,,
scenes, but he is improvising.,1,
"Ready- whips raised high- at the signal all together [ lashed their horses' backs and shouted, urging them on- they broke in.a burst of speed, in no time swept the plain, leaving the ships behind and lifting under their chests the dust clung to the teams like clouds or swirling gales as their manes went streaming back in the gusty tearing wind.",1,,
It is significant that our first view of him in action is not,1,,
"Well let him go, I say!",1,,
"And now, as soon as the two drove past the great tomb of lIus they drew rein at the ford to water mules and team.",1,,
But with Hera.,1,,
THE TIDE OF BATTLE TURNS,0,,
"Nor did the other chariot-drivers hold formation- all dismounted, seeing shining Hector leap to earth.",1,,
"IV""",0,,
Twayne's Masterwork Studies.,0,,
than the hard Parryites had argued for at first.,1,,
"{J95-426j Plenty of Argive women wait in Hellas and in Phthia, daughters of lords who rule their citadels in power.",1,,
my friendsl Discipline fil1 your hearts!,1,,
Trojans trapped but struggling on in the deep trench.,1,,
"And Deiphobus taking aim with his big glinting spear, forever hating the man and he hurled and missed again- but Deiphobus hit Ascalaphus with that shaft, Ascalaphus son of the butcher god of battles- the heavy spearshaft ran him through the shoulder and down he thundered, scraping, clutching the dust.",1,,
"Even if he can swallow down his wrath today,",1,,
"age, did his most significant work in Paris; in fact.",1,,
Then when the sun went down and night came on they made their beds and slept by the stern-cables ...,1,,
"He, too, withdrewfrom the fighting in anger, endangered his city, refused entreaties of his",1,,
Rearing behind him Pallas seized his fiery hair-,1,,
"ALASTOR ta-las'-tor): (l) Achaean, one of the Pylian captains, 4.338.",0,,
It fell to earth and an Argive snatched it up as it rolled at soldiers' feet- and the night came blinding down Deipyrus' eyes.,1,,
{383-411J,1,,
"Madness, blinding ruin: the Greek word for this is Atl.",1,,
from Zeus's forehead.,1,,
"great protective wall around them, with a ditch in front.",1,,
"But wait, I'll bring you some honeyed, mellow wine.",1,,
Never has such a lust for goddess or mortal woman flooded my pounding heart and overwhelmed me so.,1,,
"of his enemy, Hector.",1,,
87,0,,
"One of them, Helen.",1,,
beauties courted,1,,
"Hector speared him now- the point split the collarbone, slashing through and out by the shoulder's base, sticking out the back.",1,,
"other destination, it is not Paradise but the House of Hades, lord of the",1,,
"must wind down our brutal wars to the bitter end until we drop and die, down to the last man.",1,,
"No need for such an outburst- get a grip on yourself, distraught as you are.",1,,
"Now, if in the years to come you will accord with me, my wide-eyed Queen, throned with me in the gods' decisive sessions, then Poseidon, bent as he is to go his own way, must change at once and wrench his will to ours, to yours and mine united.",1,,
"OLENIAN ROCK (oh·/een'·i-an): landmark on the border of Blis, 2.710.",0,,
Your armies turning over their lives to your command- responsibilities so heavy.,1,,
810,0,,
.,1,,
the full hundred oxen he gave her on the spot then promised a thousand head of goats and sheep from the boundless herds he'd rounded up himself.,1,,
"interest, (0 be forgotten as they are replaced by similar events played",1,,
Priam and Prism's sons,1,,
"Asaeus first, Autonous next and then Opites.",1,,
"his struggles on the face of the earth are, from",1,,
"gnantly expressed by the scenes that take place in Troy, especially the",1,,
"Athena halted beside him, let her challenge fly: ""Here's glory, son of Lycaon-Iet me tempt you, you with your archer's skill!",1,,
"He could bear no more, wheeling off at a distance- shaking his whetted spear he charged Achilles now, // coming fierce as fire but Achilles marked him quickly and springing forth to take him, triumphed to himself, ""Here is the man who's raked my heart the most, who killed my cherished comrade!",1,,
420,0,,
550,0,,
He finds,1,,
350,0,,
"Never has longing for you overwhelmed me so, no, not even then, I tell you.",1,,
BOOK 17:,0,,
golden buckles clinching both halves of his breastplate-,1,,
320,0,,
Inset: Troy and Vicinity,0,,
"any sense of this, it is because the translator has often consulted the fa-",1,,
son of Arisbas.,0,,
At the beginning of the Iliad Helen has already broken out of the,1,,
prophetic paradigm in the framework of the poem.,1,,
the poem against the Trojan ranks.,1,,
H.Merit andResponsibility: A Studyin Greek Values.,0,,
"wading into the fighting, spurred the Trojan columns on to mass attack.",1,,
"Look at this fellow here, back he comes again, fleeing his fatal day- and I'd sold him off as a slave in holy Lemnos but the heaving gray salt sea can't hold him back, though it stops whole fleets of men who buck its tides.",1,,
it now.,1,,
"Then at the fourth assault'Patroclus like something superhuman- then, Patroclus, the end of life came blazing up before you, yes, the lord Apollo met you there in the heart of battle, the god, the terror!",1,,
"A great curse Olympian Zeus let live and grow in him, for Troy and high-hearted Priam and all his sons.",1,,
"no longer the same honor, even though you hurl the Trojans home!"" But the swift runner Achilles answered firmly, ""Phoenix.",1,,
At first the affair was a free-for-all, it seemed almost,1,
"OCALEA toh-ka-Iee'-av: city in Boeotia, 2.591.",0,,
come home alive or die at his hands in glory out before the walls.,1,,
"So we Can come to terms by the deep-sea ships and strike our marriage pact- you'll find our price for brides not quite so killing!""",1,,
"AESYeTES (ee-seye-ee'-teez): (1) hero whose tomb is on the Trojan plain, 2.902.",0,,
"The sweat was streaming down his face and back and the dark blood still flowed from his ugly wound but the man's will was firm, he never broke his stride.",1,,
"Up to the huge gate-tower of Troy she's gone because she heard our men are so hard-pressed, the Achaean fighters coming on in so much force.",1,,
"and Polyphemus, royal prince,",1,,
Out with itnow.,1,,
"the home of Menelaus, 2.674.",0,,
HOMER:,0,,
113,0,,
"Cynthia Achar, Roni Axelrod-all have been loyal allies in New York.",1,,
Then surely some other god will want to sweep his own son clear of the heavy fighting too.,1,,
"But now you are back, Hera- you ask me to do the impossible once again."" Eyes widening, noble Hera coaxed him further: ""So troubled, Sleep, why torture yourself with that?",1,,
BOOK 4:,0,,
Agamemnon leapt to his feet and hurled his threat-his threat's been driven home.,1,,
But other soldiers kept on flailing.,1,,
HOMER:,0,,
If a man could gather that.,1,,
2.746.,0,,
"But the will of Zeus will always overpower the will of men, Zeus who strikes fear in even the bravest man of war and tears away his triumph, all in a lightning flash, and at other times he will spur a man to battle.",1,,
280,0,,
30,0,,
"You tell me to forget the plans of storming Zeus, all he promised me when he nodded in assent?",1,,
down the forearm- a glint of metal-the point ripped through his flesh and the lord of fighting men Atrides shuddered.,1,,
"massive and bolted tight, will shield the city.",1,,
"Ajax, for example, is a form familiar in English, but there are two men",1,,
2.767.,0,,
bear to stay and watch the fight: he fears for his son.,1,,
800,0,,
"Harrnondsworth, 1996.",0,,
"political independence, were almost uninterruptedly at war with one",1,,
In Elephenor's command sailed forty long black ships.,1,,
"(4) Achaean captain, 19.284.",0,,
Forward.,1,,
like Rhodes (Rhodos) and Thrace (Thriiki).,1,,
HOMER:,0,,
This acceptance of responsibility accounts for her resistance when the,1,,
"And all the while [[ those vaunting Epeans were closing round the fortress, burning to tear it down.",1,,
"Nestor, the first to hear their thunder, shouted, ""Friends-Iords of the Argives, all our captains, right or wrong, what can I say?",1,,
"And sooner or later, in",1,,
540,0,,
Captains of all Achaeans!,1,,
"Never once did my altar lack its share of victims, winecups tipped and the deep smoky savor, These, these are the gifts we claim-they are our rights.",1,,
.,1,,
THE ILIAD,0,,
"The world went black as night before her eyes, she fainted, falling backward, gasping away her life breath ...",1,,
130,0,,
"And once they reached the perfect spot for attack, a watering place where all the herds collected, there they crouched, wrapped in glowing bronze.",1,,
"Reid, James Richardson.",1,,
650,0,,
"son of Priam and Castianira, killed by Teucer.8.344.",0,,
"generations, perhaps even centuries.",1,,
"Whatever is right for you to hear, no one, trust me, wiII know of it before you, neither god nor man.",1,,
"See if I prove a coward dawn to dusk-your claim- or I stop some Argive, blazing in all his power, from fighting on to shield Patroclus' corpse!"" With that he loosed a shrill cry to his Trojans, ""Trojansl Lycians!",1,,
THE ACHAEAN ARMIES AT BAY,0,,
"Before he left the publisher my former editor,",1,,
THE ILIAD,0,,
"passage full of very late linguistic forms, that people sometimes give",1,,
He is destined to survive.,1,,
Achilles contained not the slightest hint of apology on Agarnemnon's,1,,
"HO [/ But once he'd swallowed down the sparrow with her brood, the son of crooked Cronus who sent the serpent forth turned him into a sign, a monument clear to see-- Zeus struck him to stone!",1,,
He dies fighting for fatherland- no dishonor there!,1,,
OlOOS50n,0,,
their hold Oil the tongues and imaginations of the Greeks by their superb,1,,
"I look, I can't find one.",1,,
the work of Sidonian women.,1,,
"fight to win this prize!"" And the racing Oilean Ajax sprang up at once, Odysseus quick at tactics too.",1,,
2.816.,0,,
He broke off and anguish gripped Achilles.,1,,
The armies looked on wonder-struck and marveled.,1,,
576,0,,
"Wild as a storm cloud moving off Olympus into heaven out of a clear blue sky when Zeus brings cyclones on- so wild the rout, the cries that came from the ships as back through the trench they ran, formations wrecked.",1,,
"LEONTEUS (ft-on'-tyoosl: Achaean, son of Coronus.",0,,
"tawny and greathearted among the shambling cattle, dies bellowing under the lion's killingjaws- so now Sarpedon.",1,,
"There Strife took her stand, raising her high-pitched cry, great and terrible, lashing the fighting-fury in each Achaean's heart-no stopping them now, mad for war and struggle.",1,,
Though I never forgot my courage.,1,,
"old friend, and the wall we built is useless, the trench a waste where our Argive forces took such heavy losses .",1,,
HOMER:,0,,
"HAEMON (hee'·mon): (I) Achaean, one of the Pylian captains, 4.339.",0,,
"Pisenor's shining son- the charioteer to noble Panthous"" son Polydamas-- wrestling the reins, struggling to head his horses straight for the point where most battalions panicked, eager to please Prince Hector and all his Trojans, Clitus raced on but his death came even faster.",1,,
"It's no quick skirmish shaping, once the massed formations of men begin to clash with a god breathing fury in both sides at once.",1,,
OENOPS (ee' -nops): father of the Achaean Helenus (1).,0,,
smashing against the silver.,1,,
"London, 1902.",0,,
reciting from memory a fixedtext.,1,,
550,0,,
"to many searing grief- so Achilles dealt the Trojans struggle, grief.",1,,
81,0,,
.,1,,
"But Athena, eyes bright, taking Ares in hand, called the violent god away with: ""Ares, Ares, destroyer of men, reeking blood, stormer of ramparts, why not let these mortals fight it out for themselves?",1,,
6.36.,0,,
"he returns to the battle, and after slaughtering many Trojans.",1,,
"led by Guneus, 2.851.",0,,
"As long as brilliant Achilles stalked the front no Trojan would ever venture beyond the Dardan Gates, they were so afraid of the man's tremendous spear.",1,,
530,0,,
"That high and mighty King Agamemnon, that son of Atreus!",1,,
tell Hector here to call the truce.,1,,
110,0,,
"/168-99J to reach Troy and always in hot pursuit and shrieking, Agamemnon splattered with gore.",1,,
"(Tros, Hector), and Hector, farfrom being a warrior prince, is a ""servant",1,,
by D.B.,0,,
",(,",0,,
THE ILIAD,0,,
Quick as you can to the grand sea lord Poseidon.,1,,
"But charging down on the Trojans Ajax killed Doryclus, bastard son of Priam-he wounded Pandocus next, wounded Lysander, Pyrasus, then Pylartes.",1,,
"Down he jumped // from the wall in secret, fast, so no Achaean could see him hit and bellow out in triumph.",1,,
"They'll gladly sink to a knee and rest at home, I'd say- whoever comes through alive from the heat of combat, out from under my spear!"" Welcome, rousing words, and Achaeans-at-arrns roared out with joy to hear the greathearted Achilles swearing off his rage.",1,,
"Down the front he charged, crested in flashing bronze, Hector loosing a savage cry and flaring on like fire, like the god of fire, the blaze that never dies.",1,,
But at once Paris the lord of fair-haired Helen drew his bow at the rugged captain Diomedes ...,1,,
\f',0,,
"Agamemnon has to give her up, but",1,,
epic demonstrated by Parry and Lord are balanced by qualities peculiarto literary composition.,1,,
See and note .,1,,
THE ILIAD,0,,
150,0,,
"Homer's great epic poem has been known as ""The Iliad"" ever since the",1,,
BOOK,0,,
/ Lusting to,1,,
"hardly even human: he is godlike, both greater and lesser than a man.The contrast between the raw, self-absorbed fury of Achilles and the",1,,
"pounding inside the fellow's ribs, his teeth chattering-he dreads some grisly death.",1,,
[173-203J But his wailing failed to move the heart of Zeus: it was Zeus's pleasure to hand the prize to Hector.,1,,
"Crossing out over the deep trench they grouped on open ground, where they chanced to find a sector free and dear of corpses, in fact the very place where Hector in all his power had veered and turned away from cutting Argivesdown when night closed in.",1,,
"Even if you killed me, would Priam drop his crown in your hands-for that?",1,,
"that is, performers who were not themselves poets.",1,,
"Don't lag behind, don't fling yourself at spoils just to haul the biggest portion back to your ship.",1,,
In the early years of the,1,,
"must come at once"" ().",1,,
"Why, not even Ares the deathless god of war, not even Athena-for all their heavy labor- could hack a passage through such jaws of battle.",1,,
570,0,,
eral-idiosyncrasies at times.,1,,
.,1,,
"Hellenes and Myrmidons ranked in fifty ships, and Achilles was their leader.",1,,
"No, the pressure of combat locked them head-to-head, lunging like wolves.",1,,
"Homer's work, while a far cry from a work of literature as we know it",1,,
"And now with a deep groan and pounding both thighs Asius son of Hynacus cried in anguish, ""Father Zeus- so even you are an outright liar after all!",1,,
In any,1,,
But Ajax could hold his post on the decks no longer.,1,,
"killed by Menelaus, 15.608.",0,,
We must steel our hearts.,1,,
"She screamed and her scream rang out through all Troy: ""Come, look down, you men of Troy, you Trojan women!",1,,
Odysseus suggests not only time for the army to,1,,
J.,0,,
"So the missiles showering from their hands-Achaeans, Trojans, helmets and bossed shields clashing, ringing shrilly under the blows of boulders big as millstones.",1,,
"one for the shield, one for the silver-studded sword but both flexed taut to guard his glistening skin.",1,,
AJAX DUELS WITH HECTOR,0,,
third of the whole.,1,,
I:,0,,
"How often Menelaus, iny good soldier, would host him in our halls, in the old days.",1,,
He commanded heralds to cry out loud and clear and summon the long-haired Achaean troops to battle.,1,,
"You've stopped my fighting against the Trojans, true, but I tell you here and now that a dark, bloody doom will take you down today-gouged by my spear you'll give me glory now, you'll give your life to the famous horseman Death!"" And spinning in terror offhe ran but as he spun Odysseus plunged a spear in his back between the shoulders- straight through his chest the shaft came jutting out and down Socus crashed, Odysseus vaunting over him: ""Socus, son of Hlppasus, skilled breaker of horses, so, Death in its rampage outraced you-no escape.",1,,
The epics were the work of,1,,
"Englewood Cliffs, N.J., 1962.",0,,
"and Teucer did the same for the royal Aretaon- Ablerus went down too, under the flashing lance of Nestor's son Antilochus, and Slatus under the lord of men Agamemnon's strength- Blatus lived by the banks of rippling Satniois, in Pedasus perched on cliffs- The hero Leitus ran Phylacus down to ground at a dead run and Eurypylus killed Melanthius outright- But Menelaus lord of the war cry had caught Adrestus alive.",1,,
23.741.,0,,
BOOK,0,,
son ofthe herald Bumedes.,0,,
I:,0,,
"at another woman's beck and call, () HECTOR RETURNS TO TRaY fetching water at some spring, Messeis or Hyperia, resisting it all the way- the rough yoke of necessity at your neck.",1,,
somehow.,1,,
170,0,,
"Quickly notching the sharp arrow on the string he swore to Apollo, Wolf-god, glorious Archer.",1,,
"Draw back nowl Call the best of our captains here, this safe ground.",1,,
The next throw now-long-enduring Odysseus' turn ...,1,,
"This is a line, as its name indicates, of six metrical units, which may, to",1,,
"He always carried it, layered with hide and ringed with gleaming bronze, fitted with double cross-stays- under it low he hunched and the brazen spear flew past with a grating screech as the shaft grazed the shield.",1,,
"Cronus with all his turning, twisting ways- a sign to men at sea or a massive army marching, blazing on with a stream of sparks showering in its wake.",1,,
You'll hang your head in shame-every day of your life- if the Argives strip my armor here at the anchored ships where I have gone down fighting.,1,,
"Now like a flashing eagle swooping down on bird-flocks, winged thousands feeding, swarming a river's banks, geese, cranes or swans with their long lancing necks- so swooping Hector went headfirst at a warship, charged its purple prow, and Zeus behind him thrust him on with his mighty, deathless hand, urging the soldiers on who crowded Hector's back.",1,,
I hug your knees-mercy!-spare my life!,1,,
"And with all good will I say, fight it out with the Trojans here!",1,,
but not without revenge!,1,,
Odysseus had spoken to Achilles before the battle: there must be a limit,1,,
"That time /} you vaunted you were the finest force on eanh- all that empty bluster you let fly at Lemnos, gorging yourselves on longhom cattle meat and drunk to the full on brimming bowls of wine, bragging how each man could stand up to a hundred, no, two hundred Trojan fighters in pitched battle.",1,,
"Now his shield took powerful Agarnemnon's spear but failed to deflect it, straight through it smashed, bronze splitting his belt and plunging down his guts- he fell, thundering, armor ringing against him.",1,,
the favorite son of Peteos dear to immortals needs you at his strongpoint-s-hurry.,1,,
"But this runs counter to Grote's theory; for him, Book 23 is part of the",1,,
It looks as if an original version had only two ambassadors and that,1,,
"CHALCON (kal' -kon): father of the Achaean Bathycles, 16.694.",0,,
330,0,,
PARRHASIA (pa-ray'-zi-a): region or district in Arcadia.,0,,
"But if only Zeus would stretch the ropes of war dead even not-m the man would have no easy victory then, believe me- not though he claims he's built of solid bronze!"" Apollo son of Zeus encouraged him still more: ""Hero, why not invoke the deathless gods yourself?",1,,
Laodamia?,1,,
"Wiesbaden, 1968.",0,,
390,0,,
and Lord?,1,,
yearning to kiss her broad streets good-bye-- Troy that cost our comrades so much grief?,1,,
.,1,,
in Phthia where the rich soil breeds strong men,1,,
And given this crucial dif-,1,,
Most,1,,
Even of sorrow men can have their fill.,1,,
240,0,,
"Consider it closely, Achilles.",1,,
"most grasping man alive,",1,,
Stop.,1,,
"SCAMANDER iska-man'-der): river-god and chief river of the Trojan plain, so called by monals but called Xanthus by the gods, 2.550.",0,,
.,1,,
HOMER:,0,,
12,0,,
"That daredevil Diomedes, he'dfight Father Zeus!",1,,
"That was the time he shipped him to Lemnos fortress, sold him off and the son of Jason paid the price for the slave, but a stranger there released him from his chains, Eetion out of Imbros paid a princely ransom and sent him off to Arisbe's shining walls.",1,,
duels but faced the enemy as part of a disciplined line of overlapping,1,,
And in their command sailed eighty long black ships.,1,,
().,1,,
But I have you with me now ...,1,,
armed camp on the shore.,1,,
Bird-signs!,1,,
"But now their commander, swift Achilles was led away by Achaea's kings, barely able to bring him round- still raging for his friend-to feast with Agamemnon.",1,,
.,1,,
144,0,,
"I who saved you before, and along with you your towering city too.",1,,
"Quickly-let each fighter sharpen his spear well, balance his shield well, feed his horses well with plenty of grain to build their racing speed- each man look well to his chariot's running order, nerve himself for combat now, so all day long we can last out the grueling duels of Ares!",1,,
"They toed the line- and broke flat out from the start and Ajax shot ahead with quick Odysseus coming right behind him, close as the weaver's rod to a well-sashed woman's breast when she deftly pulls it toward her, shooting the spool across the warp, still closer, pressing her breast- so close Odysseus sprinted, hot on Ajax' heels, feet hitting his tracks before the dust could settle and quick Odysseus panting, breathing down his neck, always forcing the pace and all the Argivesshouting, cheering him on as he strained for triumph, sprinting on and fast in the homestretch, spurting toward the goal Odysseus prayed in his heart to blazing-eyed Athena, ""Hear me, Goddess, help me-hurry, urge me on!"" So Odysseus prayed and Athena heard his prayer, put spring in his limbs, his feet, his fighting hands and just as the whole field came lunging in for the trophy Ajax slipped at a dead run-Athena tripped him up- right where the dung lay slick from bellowing cattle the swift runner Achilles slew in Patroclus' honor.",1,,
"ARCHEPTOLEMUS iar-kep-to'-le-must: Trojan, son of lphitus, charioteer of Hector, killed by Teucer.",0,,
fiery Achilles' team!,1,,
"Now, again, your Phoebus Apollo pulls you through, the one you pray to, wading into our storm of spears.",1,,
Now.,1,,
"Hippothous and Pylaeus, tested soldier, led them on, both sons of Pelasgian Lethus, Teutarnus' scion, Acamas and the old hero Pirous led the Thracians, all the Hellespont bounds within her riptide straits.",1,,
"The gods on high- they hold the ropes of victory in their hands!"" {lOJ-JJj With that he began to don his handsome gear.",1,,
"help the Achaeans,the breastband,",1,,
if only you will yield.,1,,
Agamernnon rose to his feet.,1,,
